STT,Nhóm luật,Câu hỏi,Câu trả lời RAG,Trang PDF trích dẫn,Điểm Top Chunk,Thời gian (ms),Ý định (Intent),Điểm mấu chốt đối chiếu
11,Luật 12 - Thẻ phạt DOGSO,"Trong vòng cấm địa, hậu vệ phạm lỗi ngăn cản cơ hội ghi bàn rõ rệt của đối phương nhưng có nỗ lực tranh cướp bóng hợp lệ thì bị phạt thẻ vàng hay thẻ đỏ?","Câu trả lời: Trong trường hợp hậu vệ phạm lỗi ngăn cản cơ hội ghi bàn rõ rệt của đối phương trong vòng cấm địa, nếu hành vi phạm lỗi đó là **nỗ lực tranh cướp bóng hợp lệ** (attempt to play the ball) và trọng tài cho hưởng quả phạt đền, thì cầu thủ phạm lỗi sẽ chỉ bị **phạt thẻ vàng** (cảnh cáo). (Tham khảo tại trang 55, 56–57, 57, 55–56, 89–90 của PDF Law_fifa.pdf.)","trang 55, 56–57, 57, 55–56, 89–90 của PDF Law_fifa.pdf",0.7573,6129.5,DOCUMENT_QUERY,"Hậu vệ bị phạt THẺ VÀNG (luật tránh hình phạt kép) nếu có nỗ lực chơi bóng hoặc tranh chấp bóng hợp lệ; chỉ bị THẺ ĐỎ nếu kéo, đẩy, không có cơ hội chơi bóng hoặc dùng tay."
12,Luật 12 - Thẻ vàng cởi áo ăn mừng,"Cầu thủ cởi áo ăn mừng bàn thắng bị phạt thẻ vàng, nhưng sau đó VAR can thiệp hủy bàn thắng thì thẻ vàng đó có bị xóa không?","Câu trả lời: **Không, thẻ vàng vẫn giữ nguyên.** Dựa trên đoạn văn bản [1], quy định nêu rõ: ""Một cầu thủ phải bị cảnh cáo (nhận thẻ vàng), **ngay cả khi bàn thắng không được công nhận**, nếu họ cởi áo hoặc che đầu bằng áo"". Do đó, việc VAR hủy bàn thắng sau đó không làm thay đổi quyết định kỷ luật đối với hành vi cởi áo ăn mừng này. (Tham khảo tại trang 56, 55, 74, 72–73, 35 của PDF Law_fifa.pdf.)","trang 56, 55, 74, 72–73, 35 của PDF Law_fifa.pdf",0.729,7822.8,DOCUMENT_QUERY,Thẻ vàng VẪN ĐƯỢC GIỮ NGUYÊN. Hành vi cởi áo hoặc trèo rào ăn mừng là lỗi phi thể thao độc lập với việc bàn thắng có hợp lệ hay không.
13,Luật 3 & 12 - Cầu thủ dự bị vào sân,Cầu thủ dự bị chưa được phép của trọng tài đã tự ý chạy vào sân phá bóng cứu thua ngay trên vạch vôi thì trọng tài xử lý thế nào?,"Dựa trên các đoạn văn bản được cung cấp, nếu một cầu thủ dự bị tự ý chạy vào sân (người ngoài can thiệp vào trận đấu) và tác động đến tình huống bóng, trọng tài phải xử lý như sau: 1. **Dừng trận đấu:** Trọng tài phải dừng trận đấu ngay lập tức vì có sự can thiệp vào trận đấu. 2. **Loại bỏ người đó khỏi sân:** Yêu cầu cầu thủ dự bị rời khỏi sân khi trận đấu dừng lại. 3. **Kỷ luật:** Áp dụng biện pháp kỷ luật thích hợp đối với cầu thủ dự bị này. 4. **Hình thức bắt đầu lại trận đấu:** Vì sự can thiệp đến từ cầu thủ dự bị, trận đấu sẽ được bắt đầu lại bằng một **quả đá phạt trực tiếp** hoặc **quả phạt đền** tại vị trí xảy ra sự can thiệp. Ngoài ra, đoạn [2] cũng quy định thêm về trường hợp bàn thắng: Nếu trọng tài nhận ra có người ngoài (như cầu thủ dự bị) ở trên sân khi bàn thắng được ghi, trọng tài phải hủy bỏ bàn thắng đó nếu người đó thuộc đội ghi bàn, và cho bắt đầu lại bằng quả đá phạt trực tiếp từ vị trí của người đó. (Tham khảo tại trang 27, 27–28, 38–39, 26–27 của PDF Law_fifa.pdf.)","trang 27, 27–28, 38–39, 26–27 của PDF Law_fifa.pdf",0.6845,8614.4,DOCUMENT_QUERY,Trọng tài phạt THẺ ĐỎ truất quyền thi đấu của cầu thủ dự bị và cho đội đối phương hưởng QUẢ PHẠT ĐỀN (Penalty kick).
14,Luật 12 - Hành vi bạo lực,"Hành vi nhổ nước bọt hoặc cắn đối thủ, đồng đội hoặc trọng tài bị xử lý thẻ gì và đội đối phương được hưởng quả phạt nào?","Dựa trên các đoạn văn bản được cung cấp, hành vi nhổ nước bọt hoặc cắn người khác (bao gồm đối thủ, đồng đội, trọng tài, v.v.) được xử lý như sau: * **Hình thức xử phạt:** Cầu thủ thực hiện hành vi này sẽ bị **truất quyền thi đấu (thẻ đỏ)** [2], [3], [5]. * **Quả phạt được hưởng:** Nếu hành vi này là một lỗi có bóng trong cuộc (khi bóng đang trong cuộc) và xảy ra bên trong sân thi đấu, đội đối phương sẽ được hưởng một quả **phạt trực tiếp hoặc phạt đền** [1], [4]. *(Lưu ý: Văn bản [1] quy định cụ thể việc nhổ nước bọt hoặc cắn người là một lỗi bị phạt trực tiếp).* (Tham khảo tại trang 52–53, 56–57, 58, 56 của PDF Law_fifa.pdf.)","trang 52–53, 56–57, 58, 56 của PDF Law_fifa.pdf",0.7275,21017.8,DOCUMENT_QUERY,Phạt THẺ ĐỎ trực tiếp (sending-off). Đội đối phương được hưởng QUẢ PHẠT TRỰC TIẾP (Direct free kick) hoặc phạt đền nếu xảy ra trong vòng cấm.
15,Luật 12 - Quan chức đội bóng vi phạm,Nếu một thành viên ban huấn luyện trong khu vực kỹ thuật có hành vi ném chai nước phản đối thì trọng tài xử lý ra sao nếu không xác định được danh tính người ném?,"Câu trả lời: Dựa vào ngữ cảnh [1], trong trường hợp một vi phạm xảy ra nhưng không thể xác định được danh tính người thực hiện, **huấn luyện viên trưởng của đội (senior team coach) đang có mặt tại khu vực kỹ thuật sẽ là người nhận hình phạt**. Hành vi ném chai nước hoặc các đồ vật khác được liệt kê trong mục ""Caution"" (Cảnh cáo) tại ngữ cảnh [2]. Vì vậy, nếu không xác định được người ném, huấn luyện viên trưởng sẽ là người chịu trách nhiệm cho hình phạt cảnh cáo này. (Tham khảo tại trang 57, 57–58, 58, 90–91 của PDF Law_fifa.pdf.)","trang 57, 57–58, 58, 90–91 của PDF Law_fifa.pdf",0.7102,5946.6,DOCUMENT_QUERY,"Nếu không xác định được danh tính cụ thể người vi phạm, Huấn luyện viên trưởng (senior coach/head coach) trong khu vực kỹ thuật sẽ phải nhận thẻ phạt thay."
16,Luật 15 - Quy cách ném biên,Một quả ném biên hợp lệ đòi hỏi cầu thủ ném biên phải thực hiện đúng những động tác cơ bản nào?,"Dựa vào các đoạn văn bản được cung cấp, tại thời điểm thực hiện quả ném biên, cầu thủ ném biên phải thực hiện đúng các động tác cơ bản sau: * Đứng quay mặt về phía sân thi đấu. * Đặt một phần của mỗi bàn chân trên đường biên dọc hoặc trên mặt đất bên ngoài đường biên dọc. * Ném bóng bằng cả hai tay từ phía sau và qua đầu. * Thực hiện ném từ đúng điểm mà bóng đã đi ra khỏi sân. (Tham khảo tại trang 65–66, 64–65, 65–67, 69–70, 66–67 của PDF Law_fifa.pdf.)","trang 65–66, 64–65, 65–67, 69–70, 66–67 của PDF Law_fifa.pdf",0.7772,6034.3,DOCUMENT_QUERY,Quay mặt vào sân thi đấu; một phần mỗi bàn chân chạm đường biên hoặc mặt đất bên ngoài đường biên; ném bóng bằng cả hai tay từ phía sau và qua đầu từ vị trí bóng rời sân.
17,Luật 16 - Quy định phát bóng,"Khi thực hiện quả phát bóng (goal kick), quả bóng có bắt buộc phải bay ra khỏi vòng cấm địa mới được coi là trong cuộc không?","Dựa vào các đoạn văn bản được cung cấp (đoạn [2]), câu trả lời là **không**. Quả bóng được coi là ""trong cuộc"" (in play) ngay khi nó được đá và di chuyển rõ ràng; quả bóng không bắt buộc phải bay ra khỏi vòng cấm địa mới được coi là trong cuộc. (Tham khảo tại trang 67–68, 66–67, 67–69, 45–47, 69–70 của PDF Law_fifa.pdf.)","trang 67–68, 66–67, 67–69, 45–47, 69–70 của PDF Law_fifa.pdf",0.7361,4524.0,DOCUMENT_QUERY,"KHÔNG bắt buộc. Theo luật cập nhật, bóng ở trong cuộc ngay khi được đá và di chuyển rõ ràng (đồng đội có thể nhận bóng ngay trong vòng cấm)."
18,Luật 15 - Ném biên vào lưới,"Nếu một cầu thủ ném biên thẳng vào lưới của đội đối phương mà không chạm bất kỳ ai thì bàn thắng có được công nhận không, xử lý tiếp tục thế nào?","Câu trả lời: Bàn thắng sẽ **không được công nhận**. Theo quy định tại đoạn [1] của văn bản, nếu bóng vào lưới đội đối phương trực tiếp từ quả ném biên mà không chạm thêm bất kỳ cầu thủ nào khác, trọng tài sẽ cho thực hiện một quả **phát bóng (goal kick)**. (Tham khảo tại trang 64–65, 65–66, 65–67, 66–67, 46–47 của PDF Law_fifa.pdf.)","trang 64–65, 65–66, 65–67, 66–67, 46–47 của PDF Law_fifa.pdf",0.7456,7721.6,DOCUMENT_QUERY,Bàn thắng KHÔNG được công nhận (không thể ghi bàn trực tiếp từ quả ném biên). Trận đấu tiếp tục bằng quả phát bóng lên (goal kick) cho đội đối phương.
19,Luật 10 - Cân bằng quân số sút luân lưu,"Trước khi bước vào loạt sút luân lưu phân định thắng thua, nếu Đội A có 10 người (do thẻ đỏ) còn Đội B có đủ 11 người thì Đội B có phải giảm bớt một người không?","Câu trả lời: **Có.** Dựa trên ngữ cảnh [3] và [4], nếu khi kết thúc trận đấu mà một đội có số lượng cầu thủ nhiều hơn đội đối phương, thì đội đó phải giảm số lượng cầu thủ xuống bằng với số lượng cầu thủ của đội đối phương trước khi bắt đầu loạt sút luân lưu. Trọng tài phải được thông báo tên và số áo của mỗi cầu thủ bị loại trừ, và những cầu thủ này sẽ không đủ điều kiện để tham gia thực hiện các quả sút. (Tham khảo tại trang 49–50, 88–89, 48, 80 của PDF Law_fifa.pdf.)","trang 49–50, 88–89, 48, 80 của PDF Law_fifa.pdf",0.7204,3694.0,DOCUMENT_QUERY,CÓ. Đội có nhiều cầu thủ hơn phải giảm số lượng cầu thủ bằng với đội bị thiếu người (luật cân bằng quân số) và thông báo cho trọng tài tên/số áo cầu thủ bị loại trừ.
20,Giao thức VAR,Trợ lý trọng tài video (VAR) chỉ được phép can thiệp vào 4 nhóm tình huống cụ thể nào trong trận đấu?,"Dựa trên các đoạn văn bản được cung cấp, Trợ lý trọng tài video (VAR) chỉ được phép hỗ trợ trọng tài chính trong 4 nhóm tình huống quyết định thay đổi cục diện trận đấu sau đây: 1. **Bàn thắng / Không bàn thắng (Goal / no goal):** Bao gồm các lỗi của đội tấn công trong quá trình dàn xếp hoặc ghi bàn (như để bóng chạm tay, phạm lỗi, việt vị), bóng ra ngoài trước khi ghi bàn, lỗi của thủ môn hoặc người đá phạt đền, hoặc sự xâm nhập vào khu vực cấm địa của cầu thủ tấn công/phòng ngự khi đá phạt đền. 2. **Phạt đền / Không phạt đền (Penalty / no penalty):** Bao gồm các lỗi của đội tấn công trong quá trình dàn xếp dẫn đến tình huống phạt đền, bóng ra ngoài trước tình huống, vị trí phạm lỗi (trong hay ngoài vòng cấm), phạt đền sai hoặc không thổi phạt đền khi có lỗi. 3. **Thẻ đỏ trực tiếp (Direct red card):** Không áp dụng cho thẻ vàng thứ hai/cảnh cáo thứ hai. Bao gồm các lỗi ngăn cản cơ hội ghi bàn rõ rệt (DOGSO), lối chơi thô bạo (hoặc tranh chấp liều lĩnh), hành vi bạo lực (cắn, nhổ nước bọt...), và sử dụng các cử chỉ xúc phạm hoặc lăng mạ. 4. **Nhầm lẫn danh tính (Mistaken identity):** Xảy ra khi trọng tài phạt hoặc đuổi nhầm cầu thủ của đội phạm lỗi. (Tham khảo tại trang 72, 35, 71–72 của PDF Law_fifa.pdf.)","trang 72, 35, 71–72 của PDF Law_fifa.pdf",0.7683,8456.4,DOCUMENT_QUERY,Bao gồm 4 tình huống: (1) Bàn thắng/không bàn thắng; (2) Phạt đền/không phạt đền; (3) Thẻ đỏ trực tiếp (không áp dụng thẻ vàng thứ 2); (4) Nhận diện nhầm cầu thủ bị phạt thẻ.
